Car Names,Mileages,Ratings,Prices
2019 Honda CR-V EX-L,"38,734 mi.",4.7,"$33,420"
2020 Cadillac XT5 Sport,"18,835 mi.",4.2,"$54,987"
2021 BMW X3 sDrive30i,"11,930 mi.",3.9,"$46,857"
2019 BMW X5 xDrive40i,"17,748 mi.",4.8,"$55,973"
2019 Honda CR-V EX-L,"18,660 mi.",4.6,"$29,765"
2019 Honda CR-V EX-L,"15,638 mi.",4.9,"$29,685"
2021 Jeep Grand Cherokee Limited,"21,344 mi.",4.8,"$42,000"
2019 Honda CR-V EX-L,"18,607 mi.",4.9,"$31,363"
2020 Toyota RAV4 LE,"37,370 mi.",4.8,"$32,992"
2020 Porsche Cayenne Base,"12,523 mi.",4.7,"$78,300"
2017 Honda CR-V Touring,"14,520 mi.",4.7,"$29,980"
2018 Nissan Murano SL,"62,513 mi.",4.3,"$28,977"
2019 BMW X2 sDrive28i,"39,336 mi.",4.7,"$31,988"
2019 Acura RDX Technology Package,Mileage,4.5,"$41,788"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"14,833 mi.",4.5,"$73,884"
2021 RAM 1500 Laramie,"19,445 mi.",3.6,"$54,510"
2019 Honda CR-V EX-L,"18,476 mi.",4.7,"$34,063"
2019 Nissan Murano SL,"19,897 mi.",4.7,"$30,999"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"44,124 mi.",4.5,"$40,395"
2020 Honda CR-V EX,"18,069 mi.",4.8,"$32,109"
2022 Ford F-350 King Ranch,"24,148 mi.",4.6,"$92,998"
2021 Volvo S60 T5 Momentum,"20,049 mi.",4.7,"$35,962"
2019 BMW M850 i xDrive,"22,229 mi.",4.4,"$90,990"
2020 INFINITI QX60 LUXE,"11,054 mi.",4.3,"$42,588"
2019 Jeep Grand Cherokee Limited,"19,039 mi.",4.7,"$37,920"
2021 Mercedes-Benz C-Class C 300 4MATIC,"18,658 mi.",4.5,"$43,653"
2019 Honda HR-V LX,"12,352 mi.",4.9,"$26,458"
2019 Subaru Outback 2.5i Limited,"14,422 mi.",4.4,"$34,728"
2019 Chevrolet Silverado 1500 High Country,"20,741 mi.",4.4,"$55,000"
2021 Volkswagen Tiguan 2.0T S,"49,344 mi.",4.8,"$29,866"
2020 Alfa Romeo Stelvio Base,"16,695 mi.",4.6,"$37,995"
2021 Mercedes-Benz C-Class C 300,"18,786 mi.",4.8,"$42,770"
2021 Mercedes-Benz GLC 300 Base 4MATIC,"18,599 mi.",4.7,"$56,900"
2019 Cadillac XT5 Luxury,Mileage,4.8,"$33,000"
2019 BMW X2 sDrive28i,"30,722 mi.",2.6,"$32,888"
2020 Ford EcoSport SE,"17,358 mi.",4.9,"$23,653"
2021 Mercedes-Benz C-Class C 300 4MATIC,"13,202 mi.",4.4,"$40,925"
2020 Mercedes-Benz E-Class E 350,"12,454 mi.",4.9,"$42,998"
2019 Honda CR-V EX-L,"36,158 mi.",4.7,"$30,495"
2019 Chevrolet Equinox Premier w/1LZ,"21,299 mi.",4.6,"$28,431"
2019 BMW 330 i xDrive,"39,996 mi.",3.6,"$38,268"
2019 BMW 330 i xDrive,"31,044 mi.",4.8,"$41,380"
2020 BMW X3 M40i,"18,997 mi.",4.7,"$56,861"
2021 Toyota Highlander XLE,"13,753 mi.",4.8,"$48,992"
2019 Honda Passport Touring,"16,650 mi.",4.4,"$38,500"
2019 Cadillac XT4 Sport,"22,118 mi.",4.9,"$36,153"
2020 Volkswagen Jetta 1.4T S,"38,405 mi.",4.7,"$25,451"
2020 BMW X5 sDrive40i,"16,152 mi.",3.9,"$59,988"
2019 GMC Terrain Denali,"24,227 mi.",3.7,"$34,997"
2019 Subaru Ascent Limited 7-Passenger,"16,517 mi.",4.9,"$36,495"
2019 Porsche Cayenne Base,"45,683 mi.",4.8,"$68,988"
2019 BMW 750 i xDrive,"21,905 mi.",4.6,"$57,998"
2016 Honda Accord EX-L,"38,506 mi.",4.8,"$21,975"
